ID,TITLE,YEAR,DOI,LANG,JOURNAL,ISSN,QUALIS,JCR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
8664385553515842,Performance analysis and time prediction in manufacturing systems,2020,10.1016/j.cie.2020.106972,Inglês,COMPUTERS & INDUSTRIAL ENGINEERING,03608352,A1,-99,"['RUSCHEL, EDSON', 'ROCHA LOURES, EDUARDO DE FREITAS', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '']"
8664385553515842,Multi-product scheduling through process mining: bridging optimization and machine process intelligence,2021,10.1007/s10845-021-01767-2,Inglês,JOURNAL OF INTELLIGENT MANUFACTURING,09565515,A1,-99,"['CHOUEIRI, ALEXANDRE CHECOLI', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,Discovery of path-attribute dependency in manufacturing environments: A process mining approach,2021,10.1016/j.jmsy.2021.08.005,Inglês,JOURNAL OF MANUFACTURING SYSTEMS,02786125,A1,-99,"['CHOUEIRI, ALEXANDRE CHECOLI', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,Towards a smart workflow in CMMS/EAM systems: An approach based on ML and MCDM,2021,10.1016/j.jii.2021.100278,Inglês,Journal Of Industrial Information Integration,2452414X,XX,-99,"['GORSKI, EWERTON GUSTHAVO', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos', 'KONDO, RICARDO EIJI', 'MARTINS, GIOVANA REGINA DEL NEGRO']","['1', '2', '3', '4', '5']",3,"['', '', '', '', '']"
8664385553515842,Reconciling process flexibility and standardization: a case study in the automotive industry,2021,10.1007/s12063-021-00230-y,Inglês,Operations Management Research,19369735,XX,4.727,"['ASSAD NETO, ANIS', 'SAMPAIO, JESSYCA', 'DETRO, SILVANA PEREIRA', 'DESCHAMPS, FERNANDO', 'Eduardo Alves Portela Santos', 'LOURES, EDUARDO DE FREITAS ROCHA']","['1', '2', '3', '4', '5', '6']",5,"['', '', '', '', '', '']"
8664385553515842,A hybrid model to support decision making in the stroke clinical pathway,2022,10.1016/j.simpat.2022.102602,Inglês,SIMULATION MODELLING PRACTICE AND THEORY,1569190X,A1,2.426,"['BOARETO, PEDRO ANTONIO', 'SAFANELLI, JULIANA', 'LIBERATO, RAFAELA B', 'MORO, CARLA H C', 'JUNIOR, JOSÉ EDUARDO PÉCORA', 'MORO, CLAUDIA', 'LOURES, EDUARDO DE FREITAS ROCHA', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5', '6', '7', '8']",8,"['', '', '', '', '', '', '', '']"
8664385553515842,Process modeling: technological innovation to control the risk for perioperative positioning injury,2021,10.1590/0034-7167-2020-0145,Português,REVISTA BRASILEIRA DE ENFERMAGEM,19840446,A4,-99,"['RODRIGUES, ANA LUZIA', 'TORRES, FERNANDA BROERING GOMES', 'Eduardo Alves Portela Santos', 'CUBAS, MARCIA REGINA']","['1', '2', '3', '4']",3,"['', '', '', '']"
8664385553515842,APLICANDO MODELOS DE TOMADA DE DECISÃO MULTICRITÉRIO PARA ALIVIAR A SUPERLOTAÇÃO EM DEPARTAMENTOS DE EMERGÊNCIA,2023,10.29367/issn.1809-3957.18.2023.215.91,Português,SODEBRÁS,18093957,B2,-99,"['PEGORARO, F.', 'LAUS, F. W.', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '8664385553515842']"
8664385553515842,A smart framework to perform a criticality analysis in industrial maintenance using combined MCDM methods and process mining techniques,2024,10.1007/s00170-024-13193-8,Inglês,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,02683768,A2,-99,"['DOS SANTOS, CLEITON FERREIRA', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '', '']"
8664385553515842,Is it possible to automate the discovery of process maps for the time-driven activity-based costing method? A systematic review,2023,10.1186/s12913-023-10411-z,Inglês,BMC HEALTH SERVICES RESEARCH,14726963,A1,1.932,"['IACHECEN, FRANCIELE', 'DALLAGASSA, MARCELO ROSANO', 'Eduardo Alves Portela Santos', 'CARVALHO, DEBORAH RIBEIRO', 'IOSHII, SÉRGIO OSSAMU']","['1', '2', '3', '4', '5']",3,"['', '', '', '', '']"
8664385553515842,Digital Transformation from Planning to Execution - A Strategic Framework based on Ambidexterity and Enterprise Architecture and Interoperability,2023,10.1142/s2424862223500264,Inglês,Journal Of Industrial Integration And Management-Innovation And Entrepreneurship,24248622,XX,-99,"['DE CASTILHO JUNIOR, LUIZ ROBERTO MOREIRA', 'ROCHA LOURES, EDUARDO DE FREITAS', 'Eduardo Alves Portela Santos', 'DESCHAMPS, FERNANDO']","['1', '2', '3', '4']",3,"['', '', '', '']"
8664385553515842,Agile DMAIC cycle: incorporating process mining and support decision,2023,10.1108/IJLSS-04-2022-0092,Inglês,INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,20404166,A2,-99,"['PRADO, RENAN RIBEIRO DO', 'BOARETO, PEDRO ANTONIO', 'CHAVES, JOCEIR', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,FHIR Implementation Guide for Stroke: A dual focus on the patient?s clinical pathway and value-based healthcare,2024,10.1016/j.ijmedinf.2024.105525,Inglês,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,13865056,XX,2.731,"['DOS SANTOS LEANDRO, GABRIELLE', 'MORO, CLAUDIA MARIA CABRAL', 'CRUZ-CORREIA, RICARDO JOÃO', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '', '']"
8664385553515842,An industrial edge computing architecture for Local Digital Twin,2024,10.1016/j.cie.2024.110257,Inglês,COMPUTERS & INDUSTRIAL ENGINEERING,03608352,A1,-99,"['KONDO, RICARDO EIJI', 'ANDRADE, WILLIAN JEFERSON', 'DE MELLO HENEQUIM, CLAYTON', 'LAZZARETTI, ANDRÉ EUGENIO', 'DE SOUZA BRITTO, ALCEU', 'DE FREITAS ROCHA LOURES, EDUARDO', 'Eduardo Alves Portela Santos', 'REYNOSO-MEZA, GILBERTO']","['1', '2', '3', '4', '5', '6', '7', '8']",7,"['', '', '', '', '', '', '', '']"
8664385553515842,Projects aimed at smart cities: a hybrid MCDA evaluation approach,2021,10.1080/09537325.2021.1999405,Inglês,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,09537325,A1,-99,"['ARAGÃO, FRANCIELY VELOZO', 'GOMES, PEDRO FERNANDES DE OLIVEIRA', 'CHIROLI, DAIANE DE GENARO', 'ZOLA, FERNANDA CAVICCHIOLI', 'ROCHA LOURES, EDUARDO DE FREITAS', 'Eduardo Alves Portela Santos', 'COLMENERO, JOÃO CARLOS']","['1', '2', '3', '4', '5', '6', '7']",6,"['', '', '', '', '', '', '']"
