ID,NATURE,TITLE,YEAR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
8664385553515842,COMPLETO,Machine simulation for operational decision support using colored Petri nets,2011,"['Rodrigo Pierezan', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Marco Antonio Busetti de Paula', 'Lucas Roberto Ferreira']","['1', '2', '3', '4', '5']",2,"['8569289263658744', '', '5103490322445619', '1328903662330792', '']"
8664385553515842,COMPLETO,Modeling Business Rules for Supervisory Control of Process-Aware Information Systems,2011,"['Rosemary Francisco', 'Eduardo Alves Portela Santos', 'Agnelo Denis Vieira', 'Eduardo de Freitas Rocha Loures', 'Marco Antonio Busetti de Paula']","['1', '2', '3', '4', '5']",2,"['', '', '5135637585071745', '5103490322445619', '1328903662330792']"
8664385553515842,COMPLETO,Controle supervisório no gerenciamento de processos de negócio,2011,"['Rosemary Francisco', 'Eduardo Alves Portela Santos', 'Agnelo Denis Vieira', 'Eduardo de Freitas Rocha Loures', 'Marco Antonio Busetti de Paula']","['1', '2', '3', '4', '5']",2,"['', '', '5135637585071745', '5103490322445619', '1328903662330792']"
8664385553515842,COMPLETO,Mineração de processos para a identificação de padrões de falhas para a racionalização de alarmes,2012,"['Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Ricardo Eiji Kondo', 'Carmela Maria P Braga']","['1', '2', '3', '4']",1,"['', '5103490322445619', '', '']"
8664385553515842,COMPLETO,Characterization of process-related models for enterprise engineering,2012,"['Fernando Deschamps', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos', 'Edson Pinheiro de Lima']","['1', '2', '3', '4']",3,"['3858815340688388', '5103490322445619', '', '7304491503357135']"
8664385553515842,COMPLETO,Process Mining for Alarm Rationalization and Fault Patterns Identification,2012,"['Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Ricardo Eiji Kondo']","['1', '2', '3']",1,"['', '5103490322445619', '']"
8664385553515842,COMPLETO,Quantitative benefits of model-based improvement in a SME unit,2012,"['Arthur do Valle Neto', 'José Marcelo Cestari', 'Edson Pinheiro de Lima', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '', '7304491503357135', '']"
8664385553515842,COMPLETO,"Business appraisal, organizational diagnosis or best practice benchmarking?",2012,"['Arthur do Valle Neto', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,COMPLETO,Business performance appraisals using best practice benchmarking,2012,"['Arthur do Valle Neto', 'Eduardo Alves Portela Santos']","['1', '2']",2,"['', '']"
8664385553515842,COMPLETO,Gerenciamento de Processos de Negócio Não Estruturados - Implementação baseada em LTL,2012,"['Sauro Schaidt', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '5103490322445619', '']"
8664385553515842,COMPLETO,Modelo de aplicação da MCC em sistemas industriais,2012,"['Flávio Piechnicki', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3']",3,"['', '5103490322445619', '']"
8664385553515842,COMPLETO,Processos Baseados em Restrições: Uma Aplicação da Teoria de Controle Supervisório,2013,"['Sauro Schaidt', 'Agnelo Denis Vieira', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4']",4,"['', '5135637585071745', '5103490322445619', '']"
8664385553515842,COMPLETO,Control and Supervision Function Reference Model and Auditing,2013,"['Fernando Deschamps', 'Kenji Philip Higashi', 'Willian Giordani da Silveira', 'Edson Pinheiro de Lima', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5']",5,"['3858815340688388', '', '', '7304491503357135', '']"
8664385553515842,COMPLETO,Development of Enterprise Engineering Guidelines for Enterprise Diagnosis and Design,2013,"['Fernando Deschamps', 'Edson Pinheiro de Lima', 'Sergio Eduardo Gouvea da Costa', 'Eduardo Alves Portela Santos', 'Eileen Van Aken']","['1', '2', '3', '4', '5']",4,"['3858815340688388', '7304491503357135', '', '', '']"
8664385553515842,COMPLETO,Requirements for an Organizational Architecture for Pulp and Paper Industry,2013,"['Giovani Bordini', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures']","['1', '2', '3']",2,"['', '', '5103490322445619']"
8664385553515842,COMPLETO,An Overview of Enterprise Interoperability Assessment,2013,"['Jose Marcelo Almeida Prado Cestari', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures']","['1', '2', '3']",2,"['', '', '5103490322445619']"
8664385553515842,COMPLETO,Framework for Shutdown Maintenance Management,2013,"['Sandro de Paula Pires', 'Rui Marçal', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures']","['1', '2', '3', '4']",3,"['', '', '', '5103490322445619']"
8664385553515842,COMPLETO,A Research Strategy for Public Administration Interoperability Assessment,2014,"['Cestari, José Marcelo A. P.', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos', 'Mario Lezoche']","['1', '2', '3', '4']",3,"['', '5103490322445619', '', '']"
8664385553515842,COMPLETO,Enhancing flexibility in business process management using declarative languages,2014,"['Sauro Schaidt', 'Gustavo Dering Barddal', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Cestari, José Marcelo A. P.']","['1', '2', '3', '4', '5']",3,"['', '', '', '5103490322445619', '']"
8664385553515842,COMPLETO,Modelagem de processos baseados em restrições: uma comparação entre abordagens declarativas,2014,"['Sauro Schaidt', 'Gustavo Dering Barddal', 'Agnelo Denis Vieira', 'Eduardo de Freitas Rocha Loures', 'Eduardo Alves Portela Santos']","['1', '2', '3', '4', '5']",5,"['', '', '', '5103490322445619', '']"
8664385553515842,COMPLETO,Framework for applying Process Mining techniques in Software Process Assessments,2014,"['Arthur do Valle Neto', 'Eduardo Alves Portela Santos', 'Eduardo de Freitas Rocha Loures', 'Cestari, José Marcelo A. P.']","['1', '2', '3', '4']",2,"['', '', '5103490322445619', '']"
