ID,TITLE,SEQ_PROJ,YEAR,YEAR_FIN,NATURE,MEMBERS,COORDENA,ADDRESS_PPE_ENTERP,ADDRESS_PPE_ENTERP_CODE
8664385553515842,Sistema de informação de chão de fábrica: técnicas e ferramentas para auxílio a gestão da manutenção,4,2010,ATUAL,DESENVOLVIMENTO,"['Eduardo Alves Portela Santos', 'Rodrigo Pierezan', 'Rolando Jacyr Kurscheidt Netto']","['SIM', 'NAO', 'NAO']",Pontifícia Universidade Católica do Paraná,020700000008
8664385553515842,Monitoramento Preditivo e Otimização: Direcionamento para Manufatura e Logística Inteligente,16,2024,ATUAL,PESQUISA,"['Eduardo Alves Portela Santos', 'DETRO, SILVANA PEREIRA']","['SIM', 'NAO']",Universidade Federal do Paraná,010300000003
8664385553515842,Mineração de Processos em Operações,15,2022,ATUAL,PESQUISA,"['Eduardo Alves Portela Santos', 'Renan Ribeiro do Prado', 'Ricardo Baiochi', 'JACIRA SALETE VIEIRA DOS SANTOS BERNARDI', 'JESSICA SOARES', 'ANNE CRISTINE BETONI CARDOSO', 'ANDRESSA ROVEDA']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",Universidade Federal do Paraná,010300000003
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,IEEE Transactions on Neural Networks and Learning Systems,000400000997
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,000500000999
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,000600000990
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,COMPUTER STANDARDS & INTERFACES,000700000992
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,000800000994
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,Enterprise Information Systems,000900000996
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,DATA & KNOWLEDGE ENGINEERING,001000000998
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,JOURNAL OF INTELLIGENT MANUFACTURING,001100000990
8664385553515842,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,VAZIO,Fundação Araucária de Apoio ao Desenvolvimento Científico e Tecnológico,383900000009
